,TIER,SUMMONERID,SUMMONERNAME,LEAGUEPOINTS,WINS,LOSSES,VETERAN,INACYIVE,FRESHBLOOD,HOTSTREAK
210,GRANDMASTER,fC7Olrv_zbk_oj4HC2Yc4FE79wopxmc88RF1mM0DjstcdO4,woowacompany,727,420,372,1,0,0,0
211,GRANDMASTER,G9SA2yPv1BNMw4mg9E_3p5SHv47w_Oa80nzDt4kT8SV5wmc,limit,772,163,133,1,0,0,0
212,GRANDMASTER,tFREQLW5WHpGGGjJdbUns85Pj0yHe2eTA-IrVwCsOaxHokY,강하다 별,848,428,392,0,0,0,0
213,GRANDMASTER,_pR7zr-gP1Tdgah44MxyYvZANguzBPxs46v5qRFf2mDR50mURsWs7dr0HQ,8년산 치즈,896,312,238,0,0,0,0
214,GRANDMASTER,EFOfloSgUs2mkl2G_4uyj3Tkx7R4Ae2XlaCB2v30FlIgXkU,메론뀰맛있어,620,460,415,0,0,1,1
215,GRANDMASTER,D7CdnCquUHKtctVGiUzXTyAa2rxvDoUYCob58pjHxm18-vU,내가 아쉬웠다,667,230,196,0,0,1,1
216,GRANDMASTER,X1pzHByBGtmC-Zl8znCGQhw-lVg_aOxEQDPjGL2rmGn1O1E,매 루,844,309,273,0,0,1,0
217,GRANDMASTER,PTqRSJKlLj6S-FYUe98r_XhyQ_OsG5DZkRW4gQaZCnroPJ0,강타자다,748,164,127,0,0,0,0
218,GRANDMASTER,qPoa0kxfeVfqMC2TWDcZ41IGnAs4_70OKPNHdIgW5CDK-RDqEOU9jr-Rew,웃음과농담,810,606,559,0,0,0,0
219,GRANDMASTER,vZAYKROjS12Jn3bB-oEgLM_hrz0bQsRavyLGYPiLEqQNMw,VARUSKlNG,615,167,130,0,0,1,1
220,GRANDMASTER,CFN1K9e9j5V9TAA4RpkELLgAXEcn9OA8KnmdhKafIqI2_v9AKKOry2MeGw,apex1v1solo,715,176,150,0,0,0,0
221,GRANDMASTER,Zqw-btH1ypygOPNeFaltnG9yBMqn7TVccTCdWVDHYortsihT5dy24OZwoQ,Erilia,866,97,64,0,0,1,0
222,GRANDMASTER,lyfTi5vvBAeHpcWd6HHc5I2l-fVI3C1PvhtPNLlzIuFC8gY,axibakeisaga,708,239,230,1,0,0,0
223,GRANDMASTER,6KRoYCuH8nKRk2gd-EMJ3efKsjiyxvw6RI4n16M5fLX_xvQB,제비다리고쳐주기,615,274,247,0,0,0,0
224,GRANDMASTER,d3L-f8DlNxQlc_G0BJm8jLSF0fvmrhqgV9HDD-CUB929oQ,갈과 배 음료,670,302,282,1,0,0,1
225,GRANDMASTER,4-kehHgIL_hZHXwnxJjnS9cULiVoWne5sF0yJgH8P9rtsBqq4M4uvAmoKQ,Hagemanto,721,503,439,1,0,0,1
226,GRANDMASTER,GYiIQFOeKX5TjYZxMA3Z13WrTrveu6VdrJS7yIT2gI-eEA9JHUvyGIWwhA,xiaoyangzi9,666,280,230,0,0,1,0
227,GRANDMASTER,O8HP8T7J0RQuQLmhpPqfnksGefOrQ97AhqwWYqys-wB1GqQ,뭐너가어쩔건데,813,202,166,0,0,0,0
228,GRANDMASTER,kTsC6Vw2aztMzJtlgfAoovUNorA2SA9_CPxJ8yPBplUfoFUjkG31Ozj4zw,lIlIlIlIllIIIlI,763,204,178,0,0,0,0
229,GRANDMASTER,5in2ptkweGmd9EY8MkAexXdh_0Ov3OatPLwW8bv-4GwfPbI,트위치이성진1234,626,193,167,0,0,0,0
